wav_filename,wav_filesize,transcript
/home/amlee100/tmp/audio/train/LB1f054Z.wav,166562,la statua di apollo e dafne mostrava uno splendido riflesso color ambra
/home/amlee100/tmp/audio/train/LB1f055Z.wav,166562,lo scandalo della discarica di zolfo ebbe gran risalto sui giornali
/home/amlee100/tmp/audio/train/LB1f056Z.wav,166562,il dislivello del ghiaccio era dovuto a forti gelate nella calotta polare
/home/amlee100/tmp/audio/train/LB1f057Z.wav,166562,mi pare che il dogma dell'eucarestia sia ricordato nella messa e nel gloria
/home/amlee100/tmp/audio/train/LB1f058Z.wav,166562,con un subdolo trucco la maga mise la droga all'interno del talismano
/home/amlee100/tmp/audio/train/LB1f059Z.wav,166562,la pomata emanava un gran tanfo però ha eliminato in pieno il fastidioso eczema
/home/amlee100/tmp/audio/train/LB1f060Z.wav,166562,hanno suonato quella marcia con uno swing ed un ritmo veramente esclusivo
/home/amlee100/tmp/audio/train/LB1f061Z.wav,166558,fatta esplodere la occlusione alla bocca del vulcano la lava fluì liberamente
/home/amlee100/tmp/audio/train/LB1f062Z.wav,166562,il prezioso scialle stava nella sala principale del museo etnico andaluso
/home/amlee100/tmp/audio/train/LB1f063Z.wav,166558,per attraversare il ponte dovresti fare la fila come gli altri automobilisti
/home/amlee100/tmp/audio/train/LB1f064Z.wav,166562,non penso che una cura di fosforo possa guarire la tua sclerosi galoppante
/home/amlee100/tmp/audio/train/LB1f065Z.wav,166562,il fumetto raccontava di un ufo che spiava la rete informatica mondiale
/home/amlee100/tmp/audio/train/LB1f066Z.wav,166562,emilio gadda è il più perspicace scrittore della prima metà del secolo
/home/amlee100/tmp/audio/train/LB1f067Z.wav,166562,le ghirlande di fiori a margine del palco ornavano la salma del guru
/home/amlee100/tmp/audio/train/LB1f068Z.wav,166558,lo gnocco di patate con la salsa è un piatto povero che riempie la pancia
/home/amlee100/tmp/audio/train/LB1f069Z.wav,166562,dopo la gara di golf potrai vedere la replica della partita di rugby
/home/amlee100/tmp/audio/train/LB1f070Z.wav,166562,l'iceberg partito dal polo nord non si potrà sgelare in breve tempo
/home/amlee100/tmp/audio/train/LB1f071Z.wav,166558,lo psicologo ricorse all'ipnotismo per studiare il subconscio del paziente
/home/amlee100/tmp/audio/train/LB1f072Z.wav,166562,all'ambasciata di israele il punch fu servito con uno spruzzo di angostura
/home/amlee100/tmp/audio/train/LB1f073Z.wav,166562,se non sbaglio il cinque maggio è una delle più famose poesie del manzoni
/home/amlee100/tmp/audio/train/LB1f074Z.wav,166562,giunto il solstizio d'estate i maghi convennero nel parco per la cerimonia
/home/amlee100/tmp/audio/train/LB1f075Z.wav,166562,non so perché ma ormai usare un codice mnemonico mi è impossibile
/home/amlee100/tmp/audio/train/LB1f076Z.wav,166562,quella razza di rana ama saltare tra i fiori delle ninfee e degli stagni
/home/amlee100/tmp/audio/train/LB1f077Z.wav,166562,poiché raddrizzare la nave era impossibile fuggi dall'oblò e si mise in salvo
/home/amlee100/tmp/audio/train/LB1f078Z.wav,166558,dopo lo sfratto il centro oftalmico ha messo in saldo molti strumenti
/home/amlee100/tmp/audio/train/LB1f079Z.wav,166562,dal mais si può ricavare il popcorn oppure oli particolarmente leggeri
/home/amlee100/tmp/audio/train/LB1f080Z.wav,166562,le scrivo per un formale reclamo riguardo l'opzione di rateizzazione
/home/amlee100/tmp/audio/train/LB1f081Z.wav,166562,pagare le salate rette dell'immobile mi portò sull'orlo della bancarotta
